Year,Region Name,Median Price
1996,San Francisco County,3540878
1997,San Francisco County,3805707
1998,San Francisco County,4363760
1999,San Francisco County,4947952
2000,San Francisco County,6015656
2001,San Francisco County,7110725
2002,San Francisco County,7250947
2003,San Francisco County,7803571
2004,San Francisco County,8855997
2005,San Francisco County,10322930
2006,San Francisco County,10662142
2007,San Francisco County,10829528
2008,San Francisco County,10300012
2009,San Francisco County,9222651
2010,San Francisco County,9121884
2011,San Francisco County,8551726
2012,San Francisco County,8952831
2013,San Francisco County,10593810
2014,San Francisco County,12058545
2015,San Francisco County,13581566
2016,San Francisco County,14506060
2017,San Francisco County,15036139
2018,San Francisco County,16648884
2019,San Francisco County,16884201
2020,San Francisco County,4330499
1996,Palm Beach County,1425667
1997,Palm Beach County,1436871
1998,Palm Beach County,1485990
1999,Palm Beach County,1538825
2000,Palm Beach County,1625210
2001,Palm Beach County,1761083
2002,Palm Beach County,1985347
2003,Palm Beach County,2278832
2004,Palm Beach County,2699189
2005,Palm Beach County,3402004
2006,Palm Beach County,3998806
2007,Palm Beach County,3635397
2008,Palm Beach County,2940296
2009,Palm Beach County,2397478
2010,Palm Beach County,2206322
2011,Palm Beach County,2011967
2012,Palm Beach County,1991197
2013,Palm Beach County,2252894
2014,Palm Beach County,2599189
2015,Palm Beach County,2826932
2016,Palm Beach County,3056076
2017,Palm Beach County,3249075
2018,Palm Beach County,3424656
2019,Palm Beach County,3528325
2020,Palm Beach County,899330
1996,New York County,2580272
1997,New York County,2734416
1998,New York County,3040115
1999,New York County,3453353
2000,New York County,4023485
2001,New York County,4765611
2002,New York County,5405897
2003,New York County,6177261
2004,New York County,7052854
2005,New York County,8408081
2006,New York County,9530253
2007,New York County,9180760
2008,New York County,9207260
2009,New York County,9143369
2010,New York County,8489511
2011,New York County,8984764
2012,New York County,9144578
2013,New York County,9725990
2014,New York County,10945496
2015,New York County,11898195
2016,New York County,12259037
2017,New York County,12317944
2018,New York County,12721132
2019,New York County,12427366
2020,New York County,3011358
1996,Los Angeles County,2136987
1997,Los Angeles County,2131607
1998,Los Angeles County,2280503
1999,Los Angeles County,2483311
2000,Los Angeles County,2713657
2001,Los Angeles County,2985056
2002,Los Angeles County,3404423
2003,Los Angeles County,4056157
2004,Los Angeles County,5065138
2005,Los Angeles County,6191509
2006,Los Angeles County,7024359
2007,Los Angeles County,6928442
2008,Los Angeles County,5794022
2009,Los Angeles County,4843716
2010,Los Angeles County,4830913
2011,Los Angeles County,4556006
2012,Los Angeles County,4490816
2013,Los Angeles County,5262759
2014,Los Angeles County,5796961
2015,Los Angeles County,6119828
2016,Los Angeles County,6562700
2017,Los Angeles County,7024412
2018,Los Angeles County,7537487
2019,Los Angeles County,7623995
2020,Los Angeles County,1972567
1996,Arlington County,2571399
1997,Arlington County,2555550
1998,Arlington County,2603538
1999,Arlington County,2761289
2000,Arlington County,3070601
2001,Arlington County,3577892
2002,Arlington County,4225669
2003,Arlington County,4933237
2004,Arlington County,5796895
2005,Arlington County,6992802
2006,Arlington County,7560655
2007,Arlington County,7311126
2008,Arlington County,6908186
2009,Arlington County,6698114
2010,Arlington County,6811469
2011,Arlington County,6829401
2012,Arlington County,6915398
2013,Arlington County,7349600
2014,Arlington County,7660042
2015,Arlington County,7687507
2016,Arlington County,7792560
2017,Arlington County,8005173
2018,Arlington County,8142864
2019,Arlington County,8667210
2020,Arlington County,2245693
