Year,Region Name,Median Price
1996,Zavala County,
1997,Zavala County,
1998,Zavala County,
1999,Zavala County,
2000,Zavala County,
2001,Zavala County,
2002,Zavala County,
2003,Zavala County,
2004,Zavala County,
2005,Zavala County,
2006,Zavala County,
2007,Zavala County,
2008,Zavala County,
2009,Zavala County,306125
2010,Zavala County,526610
2011,Zavala County,534839
2012,Zavala County,546799
2013,Zavala County,564210
2014,Zavala County,607778
2015,Zavala County,639150
2016,Zavala County,691320
2017,Zavala County,746832
2018,Zavala County,766380
2019,Zavala County,781587
2020,Zavala County,200502
1996,Zapata County,
1997,Zapata County,
1998,Zapata County,
1999,Zapata County,
2000,Zapata County,
2001,Zapata County,
2002,Zapata County,
2003,Zapata County,
2004,Zapata County,
2005,Zapata County,159747
2006,Zapata County,667946
2007,Zapata County,706042
2008,Zapata County,750612
2009,Zapata County,726727
2010,Zapata County,718699
2011,Zapata County,694553
2012,Zapata County,726773
2013,Zapata County,760962
2014,Zapata County,820035
2015,Zapata County,895057
2016,Zapata County,949792
2017,Zapata County,1018429
2018,Zapata County,1051813
2019,Zapata County,1099192
2020,Zapata County,273822
1996,Yuma County,
1997,Yuma County,
1998,Yuma County,941020
1999,Yuma County,1296408
2000,Yuma County,1345171
2001,Yuma County,1368036
2002,Yuma County,1410322
2003,Yuma County,1469605
2004,Yuma County,1621360
2005,Yuma County,2905430
2006,Yuma County,3629492
2007,Yuma County,3638700
2008,Yuma County,3388000
2009,Yuma County,3036805
2010,Yuma County,2864278
2011,Yuma County,2597480
2012,Yuma County,2569372
2013,Yuma County,2708431
2014,Yuma County,2906056
2015,Yuma County,3092719
2016,Yuma County,3300653
2017,Yuma County,3539141
2018,Yuma County,3756729
2019,Yuma County,3915180
2020,Yuma County,1006511
1996,Yuba County,
1997,Yuba County,
1998,Yuba County,
1999,Yuba County,
2000,Yuba County,
2001,Yuba County,1459939
2002,Yuba County,1630438
2003,Yuba County,1901562
2004,Yuba County,2384868
2005,Yuba County,3082398
2006,Yuba County,3393731
2007,Yuba County,2950867
2008,Yuba County,2335459
2009,Yuba County,2006316
2010,Yuba County,1962326
2011,Yuba County,1866332
2012,Yuba County,1881975
2013,Yuba County,2120090
2014,Yuba County,2324290
2015,Yuba County,2387829
2016,Yuba County,2601418
2017,Yuba County,2898072
2018,Yuba County,3167762
2019,Yuba County,3349669
2020,Yuba County,876457
1996,Young County,
1997,Young County,
1998,Young County,
1999,Young County,
2000,Young County,
2001,Young County,
2002,Young County,
2003,Young County,
2004,Young County,
2005,Young County,632580
2006,Young County,803447
2007,Young County,851256
2008,Young County,867625
2009,Young County,859371
2010,Young County,829671
2011,Young County,819919
2012,Young County,839366
2013,Young County,880348
2014,Young County,941068
2015,Young County,1002364
2016,Young County,1059021
2017,Young County,1117137
2018,Young County,1155613
2019,Young County,1198068
2020,Young County,300113
1996,York County,2687731
1997,York County,2726851
1998,York County,3774193
1999,York County,5978105
2000,York County,6673392
2001,York County,7104276
2002,York County,7539413
2003,York County,8152192
2004,York County,8867089
2005,York County,9889813
2006,York County,10749339
2007,York County,11083130
2008,York County,10868717
2009,York County,10399253
2010,York County,10255070
2011,York County,10556551
2012,York County,10717914
2013,York County,10925034
2014,York County,11180604
2015,York County,11466907
2016,York County,11935793
2017,York County,12498860
2018,York County,13128746
2019,York County,13774681
2020,York County,3548578
1996,Yolo County,1825171
1997,Yolo County,1855348
1998,Yolo County,1944893
1999,Yolo County,2050106
2000,Yolo County,2293460
2001,Yolo County,2676683
2002,Yolo County,3185850
2003,Yolo County,3797718
2004,Yolo County,4356769
2005,Yolo County,5325222
2006,Yolo County,5761105
2007,Yolo County,5274731
2008,Yolo County,4306748
2009,Yolo County,3673981
2010,Yolo County,3492128
2011,Yolo County,3207165
2012,Yolo County,3075641
2013,Yolo County,3596355
2014,Yolo County,4223292
2015,Yolo County,4387827
2016,Yolo County,4751782
2017,Yolo County,5054014
2018,Yolo County,5460364
2019,Yolo County,5520653
2020,Yolo County,1411541
1996,Yellowstone County,
1997,Yellowstone County,
1998,Yellowstone County,
1999,Yellowstone County,
2000,Yellowstone County,
2001,Yellowstone County,
2002,Yellowstone County,
2003,Yellowstone County,
2004,Yellowstone County,
2005,Yellowstone County,2000959
2006,Yellowstone County,2141100
2007,Yellowstone County,2222605
2008,Yellowstone County,2321322
2009,Yellowstone County,2369045
2010,Yellowstone County,2390690
2011,Yellowstone County,2402979
2012,Yellowstone County,2451225
2013,Yellowstone County,2582441
2014,Yellowstone County,2770497
2015,Yellowstone County,2871540
2016,Yellowstone County,2842260
2017,Yellowstone County,2894530
2018,Yellowstone County,2958426
2019,Yellowstone County,3070167
2020,Yellowstone County,781326
1996,Yellow Medicine County,
1997,Yellow Medicine County,
1998,Yellow Medicine County,
1999,Yellow Medicine County,
2000,Yellow Medicine County,
2001,Yellow Medicine County,
2002,Yellow Medicine County,
2003,Yellow Medicine County,
2004,Yellow Medicine County,
2005,Yellow Medicine County,
2006,Yellow Medicine County,
2007,Yellow Medicine County,
2008,Yellow Medicine County,831934
